paper_id,current_transfer_point,audit_transfer_point,intersection_size,union_size,jaccard
P005,Generation|Retrieval,Generation|Retrieval,2,2,1.0000
P006,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P008,Retrieval,Evaluation|Retrieval,1,2,0.5000
P110,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P010,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P011,Evaluation,Evaluation,1,1,1.0000
P012,Evaluation|Generation|Retrieval,Evaluation|Generation,2,3,0.6667
P017,Generation|Retrieval,Evaluation|Generation|Retrieval,2,3,0.6667
P019,Generation|Retrieval,Generation|Retrieval,2,2,1.0000
P020,Generation|Retrieval,Generation|Retrieval,2,2,1.0000
P112,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P030,Retrieval,Evaluation|Retrieval,1,2,0.5000
P033,Evaluation|Generation|Retrieval,Generation|Retrieval,2,3,0.6667
P035,Evaluation|Generation|Retrieval,Evaluation|Generation,2,3,0.6667
P115,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P050,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
P063,Evaluation|Generation|Retrieval,Evaluation|Generation,2,3,0.6667
P071,Evaluation,Evaluation,1,1,1.0000
P075,Generation|Retrieval,Generation|Retrieval,2,2,1.0000
P077,Evaluation|Generation|Retrieval,Evaluation|Generation|Retrieval,3,3,1.0000
MEAN,,,,,0.8667
