id,title,authors,year,venue,url,scope_label,transfer_point,translation_strategy,resource_level,domain,citation_key,notes
P001,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Lewis et al.,2020,NeurIPS,https://arxiv.org/abs/2005.11401,Background,Generation,N/A,High,Open,lewis2020rag,
P002,Retrieval-Augmented Generation for Large Language Models: A Survey,Gao et al.,2023,arXiv,https://arxiv.org/abs/2312.10997,Background,Retrieval|Generation|Evaluation,N/A,N/A,General,gao2024ragsurvey,
P003,Leveraging Passage Retrieval with Generative Models for Open-Domain QA (FiD),Izacard & Grave,2021,EACL,https://aclanthology.org/2021.eacl-main.74/,Background,Generation,N/A,High,Open,izacard2021fid,
P004,A Survey on RAG Meeting LLMs,Fan et al.,2024,KDD,https://dl.acm.org/doi/10.1145/3637528.3671470,Background,Retrieval|Generation|Evaluation,N/A,N/A,General,fan2024ragllm,
P005,One Question Answering Model for Many Languages with Cross-lingual Dense Passage Retrieval (CORA),Asai et al.,2021,NeurIPS,https://arxiv.org/abs/2107.11976,Core,Retrieval|Generation,Language-agnostic,Mixed,Open,asai2021cora,
P006,XRAG: Cross-Lingual Retrieval-Augmented Generation,Liu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.849/,Core,Retrieval|Generation|Evaluation,Language-agnostic,High,News,liu2025xrag,
P007,BGE-M3: Multi-Functionality Multi-Linguality Multi-Granularity Embedding,Chen et al.,2024,ACL-Findings,https://arxiv.org/abs/2402.03216,Component,Retrieval,N/A,Mixed,Open,chen2024bge,
P008,MIRACL: A Multilingual Retrieval Dataset Covering 18 Diverse Languages,Zhang et al.,2023,TACL,https://aclanthology.org/2023.tacl-1.63/,Component,Retrieval,N/A,Mixed,Open,zhang2023miracl,
P009,Language Drift in Multilingual RAG: Characterization and Decoding-Time Mitigation,Li et al.,2026,AAAI,https://arxiv.org/abs/2511.09984,Core,Generation,Language-agnostic,Mixed,Open,languagedrift2026,SCD handles cross-language evidence at generation time by steering decoder tokens without runtime translation.
P010,Retrieval-Augmented Generation in Multilingual Settings (BERGEN),Chirkova et al.,2024,KnowLLM-WS@ACL,https://arxiv.org/abs/2407.01463,Core,Retrieval|Generation|Evaluation,Hybrid,Mixed,Open,chirkova2024bergen,
P011,Reliability of Multilingual LLM-as-Judge,Fu & Liu,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.587/,Component,Evaluation,N/A,Mixed,General,fu2025reliable,
P012,MEMERAG: Multilingual End-to-End Meta-Evaluation Benchmark,Cruz Blandon et al.,2025,ACL,https://aclanthology.org/2025.acl-long.1101/,Adjacent,Generation|Evaluation,N/A,Mixed,Open,cruzblandon2025memerag,
P013,A Comprehensive Survey of Retrieval-Augmented Generation,Gupta et al.,2024,arXiv,https://arxiv.org/abs/2410.12837,Background,Retrieval|Generation|Evaluation,N/A,N/A,General,gupta2024comprehensive,
P014,Evaluation of Retrieval-Augmented Generation: A Survey,Yu et al.,2024,arXiv,https://arxiv.org/abs/2405.07437,Background,Evaluation,N/A,N/A,General,yu2024rageval,
P015,Cross-Lingual Information Retrieval with Multilingual LLMs: A Survey,Goworek et al.,2025,arXiv,https://arxiv.org/abs/2510.00908,Background,Retrieval|Evaluation,N/A,N/A,General,goworek2025bridging,
P016,A Survey of Multilingual Large Language Models,Xu et al.,2025,Frontiers Comp.Sci.,https://doi.org/10.1007/s11704-024-40579-4,Background,Generation,N/A,N/A,General,xu2024survey,
P017,XTREME-UP: A User-Centric Scarce-Data Benchmark for Under-Represented Languages,Ruder et al.,2023,EMNLP-Findings,https://aclanthology.org/2023.findings-emnlp.125/,Component,Retrieval|Generation,N/A,Low,Open,ruder2023xtremeup,V4: re-added from background to align with manuscript citation in §9.
P018,RAG in Healthcare: A Systematic Review,Amugongo et al.,2025,PLOS Digital Health,https://doi.org/10.1371/journal.pdig.0000877,Background,Retrieval|Generation|Evaluation,N/A,N/A,Medical,amugongo2025healthcare,
P019,Multilingual Retrieval-Augmented Generation for Knowledge-Intensive Question Answering,"Ranaldi, Haddow, Birch",2026,EACL-Findings,https://aclanthology.org/2026.findings-eacl.35/,Core,Retrieval|Generation,Hybrid,Mixed,Open,ranaldi2026multilingual,
