candidate_id,title,authors,year,venue,url,doi_or_id,discovery_search_ids,existing_citation_key,paper_id,decision,decision_rationale,confidence
C001,MaGiX: A Multi-Granular Adaptive Graph Intelligence Framework for Enhancing Cross-Lingual RAG,Hieu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.279/,10.18653/v1/2025.findings-emnlp.279,Q1|Q2|Q3,,P083,new_core,English-Vietnamese graph RAG requires cross-language retrieval and generation,high
C002,The Cross-Lingual Cost: Retrieval Biases in RAG over Arabic-English Corpora,Amiraz et al.,2025,ArabicNLP,https://aclanthology.org/2025.arabicnlp-main.6/,10.18653/v1/2025.arabicnlp-main.6,Q1|Q2|Q3|Q8,,P084,new_core,Balanced Arabic-English query-document combinations directly test cross-lingual enterprise RAG,high
C003,Quality-Aware Translation Tagging in Multilingual RAG system,Moon et al.,2025,MRL,https://aclanthology.org/2025.mrl-main.12/,10.18653/v1/2025.mrl-main.12,Q2|Q3|Q8,,P085,new_core,Retrieved English evidence is translated and quality-tagged for generation in another language,high
C004,On the Consistency of Multilingual Context Utilization in Retrieval-Augmented Generation,Qi et al.,2025,MRL,https://aclanthology.org/2025.mrl-main.15/,10.18653/v1/2025.mrl-main.15,Q2|Q5|Q6|Q7,,P086,new_core,Controlled evaluation varies evidence language independently of retrieval quality,high
C005,ZusammenQA: Data Augmentation with Specialized Models for Cross-lingual Open-retrieval Question Answering System,Hung et al.,2022,MIA,https://aclanthology.org/2022.mia-1.8/,10.18653/v1/2022.mia-1.8,Q4|C1,,P087,new_core,Distinct end-to-end system paper for the MIA cross-lingual open-retrieval QA task,high
C006,Zero-shot cross-lingual open domain question answering,Agarwal et al.,2022,MIA,https://aclanthology.org/2022.mia-1.9/,10.18653/v1/2022.mia-1.9,Q4|C1,,P088,new_core,Distinct end-to-end system paper for the MIA cross-lingual open-retrieval QA task,high
C007,"MIA 2022 Shared Task Submission: Leveraging Entity Representations, Dense-Sparse Hybrids, and Fusion-in-Decoder for Cross-Lingual Question Answering",Tu & Padmanabhan,2022,MIA,https://aclanthology.org/2022.mia-1.10/,10.18653/v1/2022.mia-1.10,Q4|C1,,P089,new_core,Distinct end-to-end system paper for the MIA cross-lingual open-retrieval QA task,high
C008,Cost-Efficient Cross-Lingual Retrieval-Augmented Generation for Low-Resource Languages: A Case Study in Bengali Agricultural Advisory,Hossain et al.,2026,arXiv,https://arxiv.org/abs/2601.02065,arXiv:2601.02065,Q1|Q2|Q8,,P090,new_core,Bengali queries and answers are bridged through English retrieval and generation,medium
C009,Agri-Query: A Case Study on RAG vs. Long-Context LLMs for Cross-Lingual Technical Question Answering,Gun & Oksanen,2026,TUM Technical Report,https://arxiv.org/abs/2508.18093,arXiv:2508.18093,Q1|Q2|Q8,,P091,new_core,English questions are evaluated against French and German technical manuals,high
C010,M4-RAG: A Massive-Scale Multilingual Multi-Cultural Multimodal RAG,Anugraha et al.,2026,CVPR,https://arxiv.org/abs/2512.05959,arXiv:2512.05959,Q2|Q3|Q6,,P092,new_core,Explicitly evaluates query and evidence language changes in end-to-end multimodal RAG,high
C011,Not All Languages are Equal: Insights into Multilingual Retrieval-Augmented Generation,Wu et al.,2025,AAAI,https://arxiv.org/abs/2410.21970,arXiv:2410.21970,Q2|Q3|Q6|C1,,P093,new_core,Futurepedia includes a direct cross-lingual knowledge-transfer task,high
C012,Linguistic Nepotism: Trading-off Quality for Language Preference in Multilingual RAG,Ki et al.,2025,arXiv,https://arxiv.org/abs/2509.13930,arXiv:2509.13930,Q2|Q6|Q7|C1,,P094,new_core,Controlled multilingual evidence study varies query and citation-document languages,high
C013,DaPT: A Dual-Path Framework for Multilingual Multi-hop Question Answering,Wang et al.,2026,ICASSP,https://arxiv.org/abs/2603.19097,arXiv:2603.19097,Q2|Q3|Q8,,P095,new_core,Parallel source-language and English paths feed bilingual retrieval and answering,high
