search_id,date,source,executed_query,filters_or_scope,raw_hits,screened_distinct,existing_records,linked_candidate_rows,linked_core_decisions,notes
Q1,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""cross-lingual retrieval-augmented generation""","2020-01-01 through 2026-03-31",N/A,18,7,6,4,"Engine totals unavailable; distinct plausible scholarly records screened."
Q2,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""cross-lingual RAG""","2020-01-01 through 2026-03-31",N/A,24,10,13,10,"Included title variants using RALM and multilingual RAG where the abstract established cross-language transfer."
Q3,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""multilingual retrieval-augmented generation"" cross-lingual","2020-01-01 through 2026-03-31",N/A,31,13,14,6,"Broadest family; non-RAG tasks were retained in the candidate log only for documented exclusion."
Q4,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""cross-lingual open-retrieval question answering""","2020-01-01 through 2026-03-31",N/A,12,5,3,3,"Recovered the three MIA system-description papers in addition to the existing shared-task overview."
Q5,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""multilingual RAG"" ""language drift""","2020-01-01 through 2026-03-31",N/A,8,4,1,1,"Language-drift paper already existed; context-utilization analysis was newly added."
Q6,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""cross-lingual"" RAG evaluation","2020-01-01 through 2026-03-31",N/A,20,9,6,4,"Screened benchmark, context-use, citation-preference, and retriever-evaluation records."
Q7,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","""cross-lingual"" RAG faithfulness attribution","2020-01-01 through 2026-03-31",N/A,11,5,2,2,"Existing attribution work plus new context-use and citation-language analyses."
Q8,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","multilingual RAG low-resource language retrieval generation","2020-01-01 through 2026-03-31",N/A,29,12,11,5,"Recovered low-resource and domain-specific systems; post-cutoff papers were excluded."
C1,2026-06-05,"Backward and forward citation tracing","Initial tracing of the 14 frozen Core papers","pass 1",N/A,36,21,6,6,"Found the three MIA system papers and Futurepedia; candidate references led to D-RAG and Linguistic Nepotism."
C2,2026-06-05,"Backward and forward citation tracing","Confirmation tracing after adding all eligible candidates","pass 2",N/A,27,19,1,1,"D-RAG was the only linked non-duplicate candidate and had already been added from C1 follow-up."
C3,2026-06-05,"Backward and forward citation tracing","Second confirmation tracing after deduplication","pass 3",N/A,24,20,0,0,"Provisional no-add result later superseded by the terminology-gap audit; see added query families Q9-Q12."
Q9,2026-06-05,"ACL Anthology; indexed scholarly web","""cross-lingual open-domain question answering"" retrieval generation","2020-01-01 through 2026-03-31",N/A,15,6,7,6,"Added after audit showed that the frozen open-retrieval wording missed the open-domain and retrieve-then-read terminology."
Q10,2026-06-05,"ACL Anthology; indexed scholarly web","""multilingual open-domain question answering"" retriever generator","2020-01-01 through 2026-03-31",N/A,13,8,4,4,"Recovered CLASS FsModQA CrossGenQA and the emergent-domain system; duplicates from Q9 were deduplicated."
Q11,2026-06-05,"IEEE-indexed proceedings; arXiv; indexed scholarly web","""cross-lingual"" RAG chatbot retrieval generation","2020-01-01 through 2026-03-31",N/A,9,3,3,1,"Recovered EduX-RAG; a non-archival working paper and a text-to-SQL application were logged but excluded."
Q12,2026-06-05,"ACL Anthology; arXiv; indexed scholarly web","multilingual vision-language retrieval augmented generation","2020-01-01 through 2026-03-31",N/A,8,2,2,0,"Recovered VLR-Bench as Adjacent and logged a standalone machine-translation application for exclusion."
C4,2026-06-05,"Backward and forward citation tracing","Tracing from the seven newly added Core papers","confirmation pass 1",N/A,31,24,9,7,"The seven linked Core rows were already found by Q9-Q11; the only newly eligible non-Core record was VLR-Bench, and no additional Core lineage remained after deduplication."
C5,2026-06-05,"Backward and forward citation tracing","Second added-query tracing after deduplication","confirmation pass 2",N/A,28,23,0,0,"No additional Core paper found in the final added-query pass; this is an operational stopping rule rather than proof of exhaustiveness."
