"paper_id","citation_key","new_scope","decision_basis","confidence"
"P001","lewis2020rag","Background","Foundational monolingual RAG method; no multilingual or cross-lingual evaluation","high"
"P002","gao2024ragsurvey","Background","General RAG survey used for positioning","high"
"P003","izacard2021fid","Background","Foundational monolingual retrieval-conditioned generation method","high"
"P004","fan2024ragllm","Background","General RAG survey used for positioning","high"
"P005","asai2021cora","Core","Cross-lingual dense retrieval and multilingual answer generation are evaluated directly","high"
"P006","liu2025xrag","Core","Benchmark explicitly requires user and retrieved-result language mismatch","high"
"P007","chen2024bge","Component","Multilingual retriever component without an end-to-end RAG study","high"
"P008","zhang2023miracl","Component","Same-language multilingual retrieval benchmark; not cross-lingual RAG","high"
"P009","languagedrift2026","Core","Studies generation when retrieved evidence differs from the query and intended output language","high"
"P010","chirkova2024bergen","Core","Evaluates multilingual and cross-lingual retrieval configurations within a RAG pipeline","high"
"P011","fu2025reliable","Component","Multilingual judge reliability study outside a RAG-specific evaluation protocol","high"
"P012","cruzblandon2025memerag","Adjacent","Native multilingual same-language RAG meta-evaluation; no required intra-instance transfer","high"
"P013","gupta2024comprehensive","Background","General RAG survey used for positioning","high"
"P014","yu2024rageval","Background","General RAG evaluation survey used for positioning","high"
"P015","goworek2025bridging","Background","Cross-lingual IR survey used for positioning","high"
"P016","xu2024survey","Background","Multilingual LLM survey used for positioning","high"
"P017","ruder2023xtremeup","Component","Low-resource multilingual benchmark relevant to components, not RAG","high"
"P018","amugongo2025healthcare","Background","Domain RAG systematic review used for context","high"
"P019","ranaldi2026multilingual","Core","Direct multilingual RAG study with cross-language evidence configurations","high"
"P020","ogundepo2023afriqa","Core","Cross-lingual open-retrieval QA for African languages","high"
"P021","mrakl2025","Core","RAG system evaluates cross-lingual link prediction and high-to-low-resource transfer","high"
"P022","wang2024multilingual","Component","Multilingual embedding model without an end-to-end RAG study","high"
"P023","duquenne2026omnilingual","Component","Cross-lingual representation model without an end-to-end RAG study","high"
"P024","park2025langpref","Core","Studies retrieval and generation over multilingual document pools and translated passages","high"
"P025","duquenne2023sonar","Component","Language-agnostic representation model without an end-to-end RAG study","high"
"P026","feng2022language","Component","Multilingual sentence embedding model without an end-to-end RAG study","high"
"P027","jha2024jina","Component","Multilingual retriever without an end-to-end RAG study","high"
"P028","louis2025colbertxm","Component","Cross-lingual retriever without an end-to-end RAG study","high"
"P029","zhang2024mgte","Component","Multilingual retrieval and reranking model without an end-to-end RAG study","high"
"P030","bonifacio2022mmarco","Component","Translated multilingual retrieval benchmark; no generation stage","high"
"P031","asai2021xor","Core","Cross-lingual open-retrieval QA benchmark and systems","high"
"P032","longpre2021mkqa","Component","Multilingual QA benchmark without retrieval as its primary contribution","high"
"P033","asai2024selfrag","Background","Monolingual RAG method used as adjacent architectural context","high"
"P034","thakur2024nomiracl","Adjacent","Multilingual same-language RAG robustness benchmark","high"
"P035","thakur2025miragebench","Adjacent","Multilingual same-language RAG generation and evaluation benchmark","high"
"P036","pombal2025mprometheus","Component","General multilingual LLM-judge suite","high"
"P037","doddapaneni2025cia","Component","General cross-lingual auto-evaluation suite","high"
"P038","zhang2023bestpractices","Component","Multilingual dense retrieval study without generation","high"
"P039","li2023towards","Component","General text embedding model","high"
"P040","wang2024improving","Component","General multilingual embedding model","high"
"P041","izacard2022unsupervised","Component","Multilingual and cross-lingual dense retrieval component","high"
"P042","zhang2021mrtydi","Component","Same-language multilingual dense retrieval benchmark","high"
"P043","lewis2020mlqa","Component","Cross-lingual extractive QA benchmark without RAG","high"
"P044","asai2022mia","Core","Shared task on cross-lingual open-retrieval QA","high"
"P045","sun2020clirmatrix","Component","Cross-lingual retrieval dataset without generation","high"
"P046","lawrie2022hc4","Component","Cross-lingual retrieval test collection without generation","high"
"P047","lyu2024crudrag","Adjacent","Chinese same-language RAG benchmark","high"
"P048","shi2021learning","Component","Cross-lingual dense retriever without generation","high"
"P049","park2026delta","Core","Multilingual RAG method explicitly combines cross-language query fusion","high"
"P050","li2025bordirlines","Core","Cross-lingual RAG benchmark over multilingual evidence and query settings","high"
"P051","shaham2024pinch","Component","Multilingual instruction tuning outside RAG","high"
"P052","gao2024shallow","Component","Cross-lingual knowledge alignment outside RAG","high"
"P053","workshop2022bloom","Component","Multilingual generator component","high"
"P054","ustun2024aya","Component","Multilingual generator component","high"
"P055","aryabumi2024aya23","Component","Multilingual generator component","high"
"P056","ranaldi2024crossalpaca","Component","Translation-following instruction tuning outside RAG","high"
"P057","aharoni2023mface","Component","Multilingual summarization and factuality task outside RAG","high"
"P058","qi2023crosslingual","Component","Cross-lingual factual knowledge study outside RAG","high"
"P059","min2023factscore","Component","Factuality metric used as an evaluation component","high"
"P060","huang2025hallucination","Background","General hallucination survey used for context","high"
"P061","cchall2025","Component","Cross-lingual cross-modal hallucination benchmark outside RAG","high"
"P062","singhal2024multilingual","Component","Multilingual fact-checking study outside an end-to-end RAG setting","medium"
"P063","muller2023xorattriqa","Core","Cross-lingual open-retrieval QA attribution and evidence-language evaluation","high"
"P064","huot2023muplan","Component","Cross-lingual summarization outside RAG","high"
"P065","leveragingentailment2024","Component","Cross-lingual summarization faithfulness outside RAG","high"
"P066","popovic2015chrf","Component","Machine-translation evaluation metric","high"
"P067","zhang2020bertscore","Component","General generation evaluation metric","high"
"P068","rei2020comet","Component","Machine-translation evaluation metric","high"
"P069","sellam2020bleurt","Component","General generation evaluation metric","high"
