paper_id,field,current_label,audit_label,audit_comment,adjudication_decision,adjudication_note
P012,scope_label,Adjacent,Component,Component vs Adjacent. Coded by primary contribution: a multilingual meta-evaluation benchmark (LLM-judge resource); monolingual instances; no end-to-end cross-lingual RAG.,,
P112,scope_label,Core,Adjacent,,,
P035,scope_label,Adjacent,Component,Component vs Adjacent. Coded by primary contribution: generation-only benchmark plus surrogate judge; oracle retrieval; monolingual instances; no end-to-end cross-lingual RAG.,,
P008,transfer_point,Retrieval,Evaluation|Retrieval,,,
P012,transfer_point,Evaluation|Generation|Retrieval,Evaluation|Generation,Component vs Adjacent. Coded by primary contribution: a multilingual meta-evaluation benchmark (LLM-judge resource); monolingual instances; no end-to-end cross-lingual RAG.,,
P017,transfer_point,Generation|Retrieval,Evaluation|Generation|Retrieval,Narrow interpretation; Component not Core. Contains cross-lingual QA and cross-language retrieval tasks; but these are isolated tasks in a 9-task suite with retrieval separated from QA; not end-to-end RAG.,,
P030,transfer_point,Retrieval,Evaluation|Retrieval,,,
P033,transfer_point,Evaluation|Generation|Retrieval,Generation|Retrieval,,,
P035,transfer_point,Evaluation|Generation|Retrieval,Evaluation|Generation,Component vs Adjacent. Coded by primary contribution: generation-only benchmark plus surrogate judge; oracle retrieval; monolingual instances; no end-to-end cross-lingual RAG.,,
P063,transfer_point,Evaluation|Generation|Retrieval,Evaluation|Generation,,,
P006,translation_strategy,N/A,Language-agnostic,,,
P115,translation_strategy,N/A,Language-agnostic,full text unavailable,,
P063,translation_strategy,Language-agnostic,N/A,,,
P075,translation_strategy,Language-agnostic,N/A,full text unavailable,,
P077,translation_strategy,N/A,Language-agnostic,Core vs Adjacent. Cross-lingual mismatch arises only because non-English questions retrieve from the English-only MedCorp corpus; cross-lingual by construction; not by design.,,
P033,resource_level,High,N/A,,,
P075,resource_level,Low,Mixed,full text unavailable,,
P077,resource_level,Mixed,High,Core vs Adjacent. Cross-lingual mismatch arises only because non-English questions retrieve from the English-only MedCorp corpus; cross-lingual by construction; not by design.,,
