"paper_id","field","current_label","current_comment","audit_label","audit_comment","adjudication_decision","adjudication_note"
"P012","scope_label","Adjacent","MEMERAG evaluates complete multilingual RAG pipelines and their meta-evaluation, so it is directly RAG-related rather than a standalone component. Its configurations remain same-language within each instance, which supports Adjacent rather than Core.","Component","Component vs Adjacent. Coded by primary contribution: a multilingual meta-evaluation benchmark (LLM-judge resource); monolingual instances; no end-to-end cross-lingual RAG.","keep_current","MEMERAG meta-evaluates complete RAG outputs end-to-end, so it is not a single-stage Component. Every instance is same-language (native question, same-language context and answer), so there is no within-instance language mismatch, which rules out Core. That leaves Adjacent: a multilingual, non-English, end-to-end RAG study whose instances do not require a language mismatch."
"P112","scope_label","Core","English, Tagalog, and Taglish query groups are evaluated for source documents irrespective of document language in an end-to-end RAG pipeline. This creates explicit within-instance query-evidence language mismatch, satisfying the Core rule.","Adjacent","","keep_current","Dataset construction assigns each document three query groups, English, Tagalog, and Taglish, irrespective of the source-document language, so reported instances pose a query against evidence in a different language. This within-instance query-evidence mismatch is retrieved, answered, and evaluated within the reported instances via per-language Context Relevance, Groundedness, and Answer Relevance, so it goes beyond code-switching coverage and meets the operational-mismatch trigger for Core."
"P035","scope_label","Adjacent","MIRAGE-Bench evaluates multilingual RAG generation and automatic assessment in complete same-language RAG configurations. It is therefore coded Adjacent rather than as a standalone component.","Component","Component vs Adjacent. Coded by primary contribution: generation-only benchmark plus surrogate judge; oracle retrieval; monolingual instances; no end-to-end cross-lingual RAG.","keep_current","Multilingual RAG benchmark focused on generation and automatic evaluation with oracle/fixed retrieval. The benchmark evaluates complete same-language RAG configurations, where query, evidence, and answer are all in the same language."
"P008","transfer_point","Retrieval","MIRACL's contribution and primary measured outcome are retrieval. Relevance judgments evaluate retrieval quality but do not constitute the TPx Evaluation stage, which is reserved for multilingual metrics, judges, or end-to-end RAG assessment.","Evaluation|Retrieval","","keep_current","Monolingual retrieval dataset and empirical benchmarking of retrievers. Retrieval is the contribution. No answer generation or evidence use, so Generation excluded. Evaluation uses standard IR metrics (nDCG@10, Recall@100), not multilingual metrics/judges/attribution or end-to-end RAG assessment, so the Evaluation stage does not apply despite the benchmark protocol."
"P012","transfer_point","Evaluation|Generation|Retrieval","MEMERAG meta-evaluates complete RAG outputs, including retrieval relevance, generated-answer quality, and evaluator reliability. The initial coding therefore records Retrieval, Generation, and Evaluation.","Evaluation|Generation","Component vs Adjacent. Coded by primary contribution: a multilingual meta-evaluation benchmark (LLM-judge resource); monolingual instances; no end-to-end cross-lingual RAG.","accept_audit","BM25 only selects the context passages for annotation, never proposed, compared, or evaluated, so Retrieval is excluded as a component used without analysis. Generation is credited because the judged relevance dimension is answer relevance, not retrieval relevance. Evaluation is credited because the paper's core contribution is a multilingual meta-evaluation benchmark with LLM-as-judge baselines, a cross-lingual evaluation methodology."
"P017","transfer_point","Generation|Retrieval","XTREME-UP contributes separate retrieval and QA/generation tasks. The initial coding does not add Evaluation merely because a benchmark reports task scores; that stage is reserved for metrics, judges, or an explicit evaluation-method contribution.","Evaluation|Generation|Retrieval","Narrow interpretation; Component not Core. Contains cross-lingual QA and cross-language retrieval tasks; but these are isolated tasks in a 9-task suite with retrieval separated from QA; not end-to-end RAG.","keep_current","Evaluation dropped: XTREME-UP's evaluation contributions are task-agnostic benchmark hygiene (annotation budget, aggregation, contamination rules) shared with ASR/OCR, not a cross-lingual retrieval/generation protocol, and its RAG-relevant scoring uses inherited metrics (Span F1, MRR), which the gating rule treats as a component used without analysis. Retrieval and Generation remain as direct cross-lingual contributions."
"P030","transfer_point","Retrieval","mMARCO is a translated multilingual passage-ranking dataset with retrieval as its contribution and measured task. Benchmark scoring alone was not treated as a separate TPx Evaluation contribution.","Evaluation|Retrieval","","keep_current","The paper translates MS MARCO and contributes/evaluates only multilingual passage retrieval. It introduces no new metric, judge, protocol, or attribution: it reuses MRR@10 and R@1000 as-is, so Evaluation does not activate (scoring a benchmark with inherited metrics is not an Evaluation contribution)."
"P033","transfer_point","Evaluation|Generation|Retrieval","Self-RAG explicitly learns when to retrieve, generates responses, and uses reflection or critique signals to assess relevance, support, and utility. The initial coding maps these contributions to Retrieval, Generation, and Evaluation.","Generation|Retrieval","","accept_audit","Self-RAG decides when to retrieve, which covers retrieval, and grounds its answers in that evidence, which covers generation. Evaluation is dropped: the reflection-token self-critique is monolingual English and serves to steer generation, not a cross-lingual evaluation contribution like a metric or judge, so it folds into Generation."
"P035","transfer_point","Evaluation|Generation|Retrieval","The initial coding treats the benchmark's RAG protocol as spanning retrieved evidence, generated answers, and automatic evaluation. Retrieval is retained as a pipeline stage even though some evaluated settings use controlled or oracle evidence.","Evaluation|Generation","Component vs Adjacent. Coded by primary contribution: generation-only benchmark plus surrogate judge; oracle retrieval; monolingual instances; no end-to-end cross-lingual RAG.","accept_audit","The paper contributes a multilingual RAG benchmark and a surrogate judge for multilingual RAG Evaluation and focuses empirically on multilingual answer Generation. Retrieval is excluded because the benchmark uses oracle passages from MIRACL and explicitly does not evaluate retrieval or retrieval errors."
"P063","transfer_point","Evaluation|Generation|Retrieval","The study analyzes attribution in cross-lingual open-retrieval QA: retrieval supplies evidence, generation produces answers, and evaluation measures attribution and evidence use. All three stages are part of the empirical analysis.","Evaluation|Generation","","accept_audit","Introduces attribution evaluation for cross-lingual QA and analyzes/improves answer faithfulness. Retrieval is only used as evidence input from an existing QA pipeline, not as a research contribution or retrieval analysis."
"P006","translation_strategy","N/A","XRAG supplies controlled cross-lingual retrieved contexts for generation and uses human translation during dataset construction. It does not execute or prescribe an attributable runtime mismatch-handling mechanism, so the conservative paper-level strategy is N/A.","Language-agnostic","","accept_audit","Real query-evidence mismatch (German query, English documents) handled by a multilingual LLM generating directly, with no translation module (Fig. 1)."
"P115","translation_strategy","N/A","Available metadata establishes a cross-lingual multimodal RAG pipeline but does not provide enough method detail to verify whether mismatch handling uses direct multilingual representations, explicit translation, or routing. The initial coding therefore uses conservative N/A pending full-method verification.","Language-agnostic","full text unavailable","accept_audit","The proposed system performs multilingual retrieval through shared multilingual and cross-modal embedding spaces (BGE-M3, AltCLIP, and a zero-shot alignment module), enabling cross-language retrieval without explicit runtime translation of either queries or retrieved evidence. Translation is discussed only as prior work and in the UC2 baseline, not as part of the proposed pipeline."
"P063","translation_strategy","Language-agnostic","The evaluated cross-lingual QA pipeline uses multilingual retrieval and generation models to operate directly across question and evidence languages without an explicit runtime translation step.","N/A","","keep_current","The evaluated cross-lingual QA system operates directly across question and evidence languages using multilingual retrieval and generation models, without explicit runtime query or evidence translation."
"P075","translation_strategy","Language-agnostic","LegalRAG embeds Bangla and English documents and user queries directly with the multilingual BGE-M3 model, then retrieves by shared-space similarity without an explicit runtime translation step. The word Hybrid refers to relevance checking and query refinement, not to multiple linguistic transfer strategies.","N/A","full text unavailable","keep_current","multilingual BGE-M3 embeddings in a shared space for Bangla and English, retrieval by similarity with no translation. Bangla queries over a 65% English corpus is an operational mismatch handled without translation."
"P077","translation_strategy","N/A","The benchmark creates non-English questions from translated data and retrieves from the English MedCorp collection, but the paper does not define a dedicated runtime mechanism for handling that language mismatch. Under the conservative runtime-attributable rule, the initial label is N/A.","Language-agnostic","Core vs Adjacent. Cross-lingual mismatch arises only because non-English questions retrieve from the English-only MedCorp corpus; cross-lingual by construction; not by design.","keep_current","MedExpQA is a benchmark, not a proposed RAG pipeline. Non-English queries are grounded on English MedCorp evidence, but the paper prescribes no handling for that gap and explicitly poses translate-test as future work. Dataset translation is offline construction, excluded by rule. With no runtime strategy prescribed or characterized, N/A."
"P033","resource_level","High","Self-RAG's reported experimental settings are predominantly English and high-resource. The initial coding records the actual experimental resource setting as High even though the paper is classified as Background.","N/A","","keep_current","Self-RAG is evaluated predominantly on English, so the effective resource setting is High."
"P075","resource_level","Low","The paper explicitly frames its contribution around Bangla as a low-resource language and low-resource Bangladeshi legal documents. English is present in the bilingual gazettes, but the main target and motivation remain Bangla, supporting Low.","Mixed","full text unavailable","keep_current","Paper explicitly targets a low-resource language, a RAG framework specialized for low-resource languages, specifically Bangla. The 65% English is incidental to the bilingual gazettes, not a deliberate high-resource focus, so the contribution targets low-resource."
"P077","resource_level","Mixed","The initial coding treated multilingual coverage as Mixed. However, the benchmark languages are English, French, Italian, and Spanish, all high-resource under the current protocol; this initial label should therefore be reconsidered during reconciliation.","High","Core vs Adjacent. Cross-lingual mismatch arises only because non-English questions retrieve from the English-only MedCorp corpus; cross-lingual by construction; not by design.","accept_audit","Benchmark languages are English, French, Italian and Spanish, all high-resource."
