id,title,authors,year,venue,url,transfer_point,translation_strategy,resource_level,domain,citation_key,scope_confidence,scope_rationale,notes
P005,One Question Answering Model for Many Languages with Cross-lingual Dense Passage Retrieval (CORA),Asai et al.,2021,NeurIPS,https://arxiv.org/abs/2107.11976,Retrieval|Generation,Language-agnostic,Mixed,Open,asai2021cora,high,Cross-lingual dense retrieval and multilingual answer generation are evaluated directly,
P006,XRAG: Cross-Lingual Retrieval-Augmented Generation,Liu et al.,2025,EMNLP-Findings,https://aclanthology.org/2025.findings-emnlp.849/,Retrieval|Generation|Evaluation,Language-agnostic,High,News,liu2025xrag,high,Benchmark explicitly requires user and retrieved-result language mismatch,
P009,Language Drift in Multilingual RAG: Characterization and Decoding-Time Mitigation,Li et al.,2026,AAAI,https://arxiv.org/abs/2511.09984,Generation,Language-agnostic,Mixed,Open,languagedrift2026,high,Studies generation when retrieved evidence differs from the query and intended output language,SCD handles cross-language evidence at generation time by steering decoder tokens without runtime translation.
P010,Retrieval-Augmented Generation in Multilingual Settings (BERGEN),Chirkova et al.,2024,KnowLLM-WS@ACL,https://arxiv.org/abs/2407.01463,Retrieval|Generation|Evaluation,Hybrid,Mixed,Open,chirkova2024bergen,high,Evaluates multilingual and cross-lingual retrieval configurations within a RAG pipeline,
P019,Multilingual Retrieval-Augmented Generation for Knowledge-Intensive Question Answering,"Ranaldi, Haddow, Birch",2026,EACL-Findings,https://aclanthology.org/2026.findings-eacl.35/,Retrieval|Generation,Hybrid,Mixed,Open,ranaldi2026multilingual,high,Direct multilingual RAG study with cross-language evidence configurations,
P020,AfriQA: Cross-lingual Open-Retrieval QA for African Languages,Ogundepo et al.,2023,EMNLP-Findings,https://aclanthology.org/2023.findings-emnlp.997/,Retrieval|Generation,Hybrid,Low,Open,ogundepo2023afriqa,high,Cross-lingual open-retrieval QA for African languages,
P021,mRAKL: Multilingual Retrieval-Augmented Knowledge Graph Construction for Low-Resourced Languages,Nigatu et al.,2025,ACL-Findings,https://aclanthology.org/2025.findings-acl.678/,Retrieval|Generation,Language-agnostic,Low,Open,mrakl2025,high,RAG system evaluates cross-lingual link prediction and high-to-low-resource transfer,
P024,Investigating Language Preference of Multilingual RAG Systems,Park & Lee,2025,ACL-Findings,https://arxiv.org/abs/2502.11175,Retrieval|Generation,Hybrid,Mixed,Open,park2025langpref,high,Studies retrieval and generation over multilingual document pools and translated passages,
P031,XOR QA: Cross-lingual Open-Retrieval Question Answering,Asai et al.,2021,NAACL,https://aclanthology.org/2021.naacl-main.46/,Retrieval|Generation,Hybrid,Mixed,Open,asai2021xor,high,Cross-lingual open-retrieval QA benchmark and systems,
P044,MIA Shared Task on Cross-lingual Open-Retrieval Question Answering,Asai et al.,2022,MIA-WS@NAACL,https://aclanthology.org/2022.mia-1.11/,Retrieval|Generation,N/A,Mixed,Open,asai2022mia,high,Shared task on cross-lingual open-retrieval QA,
